horizon,mse,rmse,mae,mape,mdape,smape,coverage
80 days,298.8427795884607,17.28706972243881,14.584205582091714,0.025961517429413807,0.024408261088275002,0.025716236318423343,1.0
81 days,298.000585926978,17.262693472542978,14.513548150366002,0.02583449980499504,0.024408261088275002,0.025590546854762752,1.0
82 days,583.3115678749274,24.151843984982335,19.326022287079166,0.03347761569320803,0.0269583664252831,0.033642663733336665,0.8888888888888888
83 days,629.0713374721668,25.081294573290407,20.42136242058983,0.03532785240521929,0.03614707965759379,0.03555998863032322,0.8888888888888888
84 days,611.4801297677913,24.72812426707273,19.491640848773514,0.033664665335780435,0.03614707965759379,0.033924573397682414,0.8888888888888888
85 days,752.8927082755542,27.438890434482847,21.73433749719258,0.038473490257779075,0.04361049683338446,0.038322383524062115,0.7777777777777778
86 days,770.5014118685933,27.75790719540278,22.93014596669737,0.04054843824792977,0.04361049683338446,0.04042560146848674,0.7777777777777778
87 days,941.40947111773,30.682396762927926,25.01847739277384,0.04491830821935174,0.04361049683338446,0.04447378330563897,0.6666666666666666
88 days,1087.1462402062623,32.971900767263364,28.318866150695474,0.05124381396908742,0.04619760279723467,0.050546821182463265,0.5555555555555556
89 days,1016.7688833950219,31.88681362875604,25.70373844492302,0.0464432414312028,0.04361049683338446,0.045862637633627634,0.5555555555555556
90 days,1216.4242116484234,34.877273569595765,29.82839197567173,0.05320245921275049,0.06981186591002264,0.052916053553380075,0.4444444444444444
